Jalen Hurts,Game #,Week,Completions,Pass attempts,Completion %,Pass yds,Pass TDs,INTs,Rating,Sacked,Sack yds,Pass yds/Att,Adj yds/Att,Rush attempts,Rush yds,Yds/Rush,Rush TDs
,1,1,18,32,56.25,243,0,0,80.6,1,4,7.59,7.59,17,90,5.29,1
,2,2,26,31,83.87,333,1,1,108.7,3,10,10.74,9.94,11,57,5.18,2
,3,3,22,35,62.86,340,3,0,123.5,3,12,9.71,11.43,9,20,2.22,0
,4,4,16,25,64,204,0,1,72.7,2,13,8.16,6.36,16,38,2.38,1
,5,5,26,36,72.22,239,0,0,89.9,2,21,6.64,6.64,15,61,4.07,2
,6,6,15,25,60,155,2,0,104.6,4,23,6.2,7.8,9,27,3,0
,7,8,19,28,67.86,285,4,0,140.6,3,18,10.18,13.04,2,10,5,0
,8,9,21,27,77.78,243,2,0,128.9,4,26,9,10.48,9,23,2.56,0
,9,10,17,26,65.38,175,2,1,94.2,1,5,6.73,6.54,6,28,4.67,1
,10,11,18,25,72,190,1,0,107.1,3,17,7.6,8.4,16,86,5.38,1
,11,12,16,28,57.14,153,2,0,96.3,2,16,5.46,6.89,17,157,9.24,0
,12,13,29,39,74.36,380,3,0,130.3,2,5,9.74,11.28,5,12,2.4,1
,13,14,21,31,67.74,217,2,0,109.2,4,33,7,8.29,7,77,11,1
,14,15,22,37,59.46,315,0,2,64.6,1,6,8.51,6.08,17,61,3.59,3
,15,16,,,,,,,,,,,,,,,
,16,17,,,,,,,,,,,,,,,
,17,18,20,35,57.14,229,0,1,65.1,3,22,6.54,5.26,9,13,1.44,0
,,,,,,,,,,,,,,,,,
Dak Prescott,Game #,Week,Completions,Pass attempts,Completion %,Pass yds,Pass TDs,INTs,Rating,Sacked,Sack yds,Pass yds/Att,Adj yds/Att,Rush attempts,Rush yds,Yds/Rush,Rush TDs
,1,1,14,29,48.28,134,0,1,47.2,2,13,4.62,3.07,2,11,5.5,0
,2,2,,,,,,,,,,,,,,,
,3,3,,,,,,,,,,,,,,,
,4,4,,,,,,,,,,,,,,,
,5,5,,,,,,,,,,,,,,,
,6,6,,,,,,,,,,,,,,,
,7,7,19,25,76,207,1,0,113.2,2,16,8.28,9.08,3,0,0,0
,8,8,21,27,77.78,250,2,1,114.5,1,8,9.26,9.07,5,34,6.8,1
,9,10,27,46,58.7,265,3,2,78.6,2,3,5.76,5.11,4,6,1.5,0
,10,11,22,25,88,276,2,0,139.3,0,0,11.04,12.64,3,16,5.33,0
,11,12,21,30,70,261,2,2,91.1,0,0,8.7,7.03,2,4,2,0
,12,13,20,30,66.67,170,3,1,100.7,1,5,5.67,6.17,0,0,,0
,13,14,24,39,61.54,284,1,2,70.9,1,7,7.28,5.49,6,23,3.83,0
,14,15,23,30,76.67,256,3,2,107.1,3,13,8.53,7.53,5,20,4,0
,15,16,27,35,77.14,347,3,1,124.3,6,43,9.91,10.34,6,41,6.83,0
,16,17,29,41,70.73,282,2,2,85.6,1,8,6.88,5.66,3,11,3.67,0
,17,18,14,37,37.84,128,1,1,45.8,1,10,3.46,2.78,6,16,2.67,0
